state,mean_delta_9_smape,baseline_smape,best_method
alabama,11.683040499998729,10.755914525202865,baseline_smape
alaska,39.54977495412466,27.328725387721132,baseline_smape
arizona,13.802473107370098,25.30038495566005,mean_delta_9_smape
arkansas,17.89837123924889,15.621626956541501,baseline_smape
california,7.857121622018119,14.554722352909314,mean_delta_9_smape
colorado,11.846043222593439,17.278492509636237,mean_delta_9_smape
connecticut,8.733112118471583,8.309379023874758,baseline_smape
delaware,15.1045207199056,10.744495919934517,baseline_smape
district_of_columbia,37.27994227994228,20.763187429854096,baseline_smape
east_north_central,9.662462394117743,17.230650171913904,mean_delta_9_smape
east_south_central,10.664259293355233,10.662536092123371,baseline_smape
florida,34.98855302267605,37.95595773880546,mean_delta_9_smape
georgia,18.787123266034836,25.672071791289326,mean_delta_9_smape
hawaii,29.296690927131223,20.818945625170485,baseline_smape
idaho,16.655776460220306,20.499535079087686,mean_delta_9_smape
illinois,13.80099817049267,21.800124305143232,mean_delta_9_smape
indiana,9.419018329656485,19.56057041824342,mean_delta_9_smape
iowa,15.801870047786426,21.238779728473116,mean_delta_9_smape
kansas,16.084658201599712,30.684622464243215,mean_delta_9_smape
kentucky,18.64855360325385,16.523154381132287,baseline_smape
louisiana,13.41004048415855,12.371740341014055,baseline_smape
maine,13.180664304289866,12.440267378417804,baseline_smape
maryland,14.341528312885988,15.072642407746144,mean_delta_9_smape
massachusetts,9.235521602539553,14.380586276342244,mean_delta_9_smape
michigan,13.800837926913855,16.45537092871997,mean_delta_9_smape
middle_atlantic,10.622374865545448,10.520296465830214,baseline_smape
minnesota,16.126829061041093,18.550477851233214,mean_delta_9_smape
mississippi,14.576432984907091,14.443788540357177,baseline_smape
missouri,52.4301074682064,68.58558941205838,mean_delta_9_smape
montana,14.820723421270603,18.217519756173353,mean_delta_9_smape
mountain,11.218914350187575,21.51598973045362,mean_delta_9_smape
nebraska,23.379415846953577,39.766834836165586,mean_delta_9_smape
nevada,9.683717401063461,22.20364542990685,mean_delta_9_smape
new_england,7.338576523450769,6.955663431390925,baseline_smape
new_hampshire,27.500641721412023,19.05581017560393,baseline_smape
new_jersey,9.52306382352995,8.655843830608111,baseline_smape
new_mexico,35.755013288500294,49.10992922031713,mean_delta_9_smape
new_york,10.436656310698881,13.185982180904206,mean_delta_9_smape
north_carolina,25.61262580197271,38.99603339694962,mean_delta_9_smape
north_dakota,13.23438375747917,24.091637350732043,mean_delta_9_smape
ohio,12.99667173545662,25.669913820388107,mean_delta_9_smape
oklahoma,15.789093592715197,28.83502839651559,mean_delta_9_smape
oregon,25.17866352437454,22.328779705679278,baseline_smape
pacific_contiguous,8.918023169818074,13.603390999733985,mean_delta_9_smape
pacific_noncontiguous,30.72733749128601,21.40088336677355,baseline_smape
pennsylvania,15.43542335045815,11.12443498056405,baseline_smape
rhode_island,36.11746632020575,44.78286821960039,mean_delta_9_smape
south_atlantic,18.827921913828753,27.4532044154368,mean_delta_9_smape
south_carolina,12.168908624161384,16.35833077221824,mean_delta_9_smape
south_dakota,43.43112134463685,27.89130590456816,baseline_smape
tennessee,13.905810944463227,14.871402735260295,mean_delta_9_smape
texas,16.545556076392735,28.412696764207528,mean_delta_9_smape
utah,29.308619289112137,32.29677618413351,mean_delta_9_smape
vermont,12.161647279585285,15.002030893367122,mean_delta_9_smape
virginia,13.081068863394293,16.039407292809646,mean_delta_9_smape
washington,28.995496534639976,22.77591969937626,baseline_smape
west_north_central,11.089717727958902,21.615749185953643,mean_delta_9_smape
west_south_central,15.373419113695036,26.926341541050263,mean_delta_9_smape
west_virginia,22.729633384444995,31.974764860581395,mean_delta_9_smape
wisconsin,11.50193780135861,10.884480560698178,baseline_smape
wyoming,21.348498482583143,22.16088979117069,mean_delta_9_smape
